Respondent ID,Publication ID,Submitted,First Active,Publication Consent,Language,Index,wkt,"Where do you swim, snorkel or dive?",Which activities do you do here?,Swimming,Snorkeling,Diving,Which activities do you do here?,Swimming,Snorkeling,Diving
,,,,,,,,swim_snork_dive_area,swimming_snorkeling_diving,swimming_snorkeling_diving: option swimming,swimming_snorkeling_diving: option snorkeling,swimming_snorkeling_diving: option diving,checkbox-list-kevw8wvw,checkbox-list-kevw8wvw: option option-identifier-kevw8xu1,checkbox-list-kevw8wvw: option option-identifier-kevw97x6,checkbox-list-kevw8wvw: option option-identifier-kevw9b71
2bge6eee3ue4,322abf9mzz3w,2020-09-09 22:22:54,2020-09-09 22:17:42,FALSE,en,0,POINT (-64.729279 32.349591),"32.349591,-64.729279","[true,true,true]",FALSE,FALSE,FALSE,"[true,true,true]",TRUE,TRUE,TRUE
2bge6eee3ue4,322abf9mzz3w,2020-09-09 22:22:54,2020-09-09 22:17:42,FALSE,en,1,POINT (-64.675061 32.388783),"32.388783,-64.675061","[true,true,true]",FALSE,FALSE,FALSE,"[true,true,true]",TRUE,TRUE,TRUE
62k9mng39ghr,322abf9mzz3w,2020-09-09 22:20:29,2020-09-09 22:19:41,TRUE,en,0,POINT (-64.724309 32.34244),"32.34244,-64.724309","[true,true,true]",FALSE,FALSE,FALSE,"[true,true,true]",TRUE,TRUE,TRUE
4bgz3ov63adj,8br9m2rfp6ip,2020-09-11 19:01:41,2020-09-11 18:48:15,TRUE,en,0,POINT (-64.668109 32.336514),"32.336514,-64.668109","[true,false,false]",TRUE,FALSE,FALSE,"[true,false,false]",FALSE,FALSE,FALSE
4bgz3ov63adj,8br9m2rfp6ip,2020-09-11 19:01:41,2020-09-11 18:48:15,TRUE,en,1,POINT (-64.894061 32.30936),"32.30936,-64.894061","[false,true,false]",FALSE,TRUE,FALSE,"[false,true,false]",FALSE,FALSE,FALSE
4bgz3ov63adj,8br9m2rfp6ip,2020-09-11 19:01:41,2020-09-11 18:48:15,TRUE,en,2,POINT (-64.750096 32.448237),"32.448237,-64.750096","[false,false,true]",FALSE,FALSE,TRUE,"[false,false,true]",FALSE,FALSE,FALSE
9bg2epo3w3wu,62lif6vug8v9,2020-09-14 21:49:30,2020-09-14 21:34:18,TRUE,en,0,POINT (-64.678803 32.31869),"32.31869,-64.678803","[false,false,true]",FALSE,FALSE,TRUE,"[false,false,true]",FALSE,FALSE,FALSE
9bg2epo3w3wu,62lif6vug8v9,2020-09-14 21:49:30,2020-09-14 21:34:18,TRUE,en,1,POINT (-64.858999 32.259782),"32.259782,-64.858999","[true,false,false]",TRUE,FALSE,FALSE,"[true,false,false]",FALSE,FALSE,FALSE
9jm82urj6u6f,2byc8yyk8des,2020-09-17 05:01:00,2020-09-17 04:59:45,TRUE,en,0,POINT (-64.822754 32.43859),"32.43859,-64.822754","[false,true,false]",FALSE,TRUE,FALSE,"[false,true,false]",FALSE,FALSE,FALSE
